univName,greV,greQ,toeflScore,cgpa_converted
Worcester Polytechnic Institute,130.0,155.319,106.0,2.5
Worcester Polytechnic Institute,156.0,157.0,109.0,2.24
Worcester Polytechnic Institute,143.0,160.0,89.0,2.82
Worcester Polytechnic Institute,150.0,157.0,108.0,3.12
Worcester Polytechnic Institute,152.0,162.0,112.0,3.14
Worcester Polytechnic Institute,149.0,157.0,106.0,2.74
Worcester Polytechnic Institute,138.298,168.085,106.0,2.32
Worcester Polytechnic Institute,150.0,161.0,110.0,3.32
Worcester Polytechnic Institute,147.0,157.0,114.0,3.12
Worcester Polytechnic Institute,130.0,165.957,94.0,2.44
Worcester Polytechnic Institute,130.0,170.213,90.0,2.584
Worcester Polytechnic Institute,145.0,162.0,89.0,2.44
Worcester Polytechnic Institute,152.0,160.0,112.0,2.6
Worcester Polytechnic Institute,155.0,153.0,106.0,2.768
Worcester Polytechnic Institute,130.0,161.702,109.0,2.8
Worcester Polytechnic Institute,142.0,159.0,84.0,2.6
Worcester Polytechnic Institute,154.0,167.0,110.0,2.64
Worcester Polytechnic Institute,130.0,165.957,106.0,3.3
Worcester Polytechnic Institute,130.0,155.319,95.0,2.48
Worcester Polytechnic Institute,151.0,151.0,105.0,3.32
Worcester Polytechnic Institute,153.0,158.0,103.0,3.104
Worcester Polytechnic Institute,161.0,168.0,109.0,3.316
Worcester Polytechnic Institute,130.0,155.319,92.0,3.0
Worcester Polytechnic Institute,130.0,157.447,97.0,2.72
Worcester Polytechnic Institute,153.0,163.0,107.0,3.452
Worcester Polytechnic Institute,157.0,170.0,108.0,2.388
Worcester Polytechnic Institute,148.0,157.0,102.0,2.32
Worcester Polytechnic Institute,134.043,138.298,112.0,2.28
Worcester Polytechnic Institute,154.0,164.0,109.0,2.92
Worcester Polytechnic Institute,155.0,166.0,109.0,2.84
Worcester Polytechnic Institute,38.0,50.0,106.0,3.32
Wayne State University,153.0,159.0,99.0,2.88
Wayne State University,130.0,142.553,76.0,3.28
Wayne State University,151.0,164.0,112.0,2.276
Wayne State University,150.0,151.0,99.0,3.048
Wayne State University,130.0,153.191,88.0,3.3
Wayne State University,154.0,164.0,88.0,2.36
Wayne State University,153.0,157.0,110.0,2.48
Wayne State University,145.0,164.0,95.0,3.024
Wayne State University,149.0,165.0,91.0,2.372
Wayne State University,142.0,153.0,79.0,2.72
Wayne State University,154.0,161.0,107.0,3.316
Wayne State University,145.0,152.0,80.0,2.372
Wayne State University,143.0,158.0,89.0,3.08
Wayne State University,151.0,167.0,112.0,2.96
Wayne State University,138.0,152.0,95.0,2.72
Wayne State University,145.0,161.0,98.0,3.112
Wayne State University,145.0,153.0,99.0,3.04
Wayne State University,155.0,164.0,110.0,2.58
Wayne State University,140.0,158.0,91.0,3.52
Wayne State University,130.0,144.681,103.0,2.96
Wayne State University,130.0,153.191,120.0,2.44
Wayne State University,130.0,159.574,102.0,2.744
Wayne State University,147.0,162.0,98.0,2.44
Wayne State University,146.0,157.0,99.0,3.212
Wayne State University,149.0,159.0,93.0,3.16
Wayne State University,138.0,162.0,84.0,3.12
Wayne State University,149.0,162.0,105.0,2.56
Wayne State University,157.0,164.0,8.0,2.84
Wayne State University,143.0,157.0,95.0,2.64
Wayne State University,146.0,155.0,100.0,2.6
Wayne State University,149.0,153.0,94.0,2.516
Wayne State University,143.0,148.0,86.0,3.4
Wayne State University,130.0,157.447,120.0,2.64
Wayne State University,130.0,170.213,101.0,2.496
Wayne State University,130.0,168.085,95.0,2.4
Wayne State University,130.0,153.191,101.0,26.8
Wayne State University,145.0,163.0,96.0,2.689
Wayne State University,130.0,146.809,110.0,3.216
Wayne State University,147.0,165.0,105.0,2.756
Wayne State University,130.0,148.936,7.0,2.68
Wayne State University,140.0,155.0,79.0,2.64
Wayne State University,143.0,158.0,89.0,2.8
Wayne State University,139.0,158.0,81.0,2.8
Wayne State University,142.0,160.0,90.0,2.72
Wayne State University,145.0,159.0,100.0,3.12
Wayne State University,130.0,155.319,96.0,3.0
Wayne State University,150.0,151.0,92.0,2.772
Wayne State University,166.0,159.0,119.0,2.92
Wayne State University,149.0,163.0,106.0,2.32
Wayne State University,130.0,165.957,100.0,2.217
Wayne State University,150.0,161.0,104.0,2.56
Wayne State University,150.0,142.0,86.0,3.328
Wayne State University,139.0,156.0,93.0,2.68
Wayne State University,130.0,155.319,102.0,3.492
Wayne State University,146.0,156.0,84.0,0.308
Wayne State University,140.0,147.0,97.0,2.594
Wayne State University,140.0,159.0,88.0,2.88
Wayne State University,149.0,158.0,103.0,3.1
Wayne State University,147.0,160.0,98.0,2.6
Wayne State University,148.0,152.0,95.0,2.992
Wayne State University,151.0,151.0,93.0,3.056
Wayne State University,146.0,162.0,81.0,2.76
Wayne State University,150.0,155.0,83.0,2.24
Wayne State University,149.0,161.0,100.0,2.32
Wayne State University,149.0,160.0,107.0,3.176
Wayne State University,142.0,154.0,90.0,2.712
Wayne State University,130.0,146.809,97.0,2.32
Wayne State University,144.0,152.0,97.0,3.032
Wayne State University,149.0,151.0,93.0,2.56
Wayne State University,130.0,161.702,99.0,3.128
Wayne State University,141.0,156.0,80.0,3.04
Wayne State University,145.0,162.0,96.0,2.48
Wayne State University,145.0,158.0,97.0,3.08
Wayne State University,143.0,159.0,83.0,2.408
Wayne State University,143.0,159.0,100.0,2.88
Wayne State University,145.0,159.0,103.0,2.72
Wayne State University,157.0,154.0,106.0,2.28
Wayne State University,154.0,169.0,117.0,3.28
Wayne State University,161.0,160.0,112.0,2.363
Wayne State University,130.0,168.085,120.0,2.926
Wayne State University,142.0,161.0,83.0,2.98
Wayne State University,146.0,161.0,102.0,2.416
Wayne State University,130.0,155.319,100.0,2.712
Wayne State University,146.0,160.0,105.0,2.8
Wayne State University,130.0,148.936,84.0,3.296
Wayne State University,143.0,163.0,100.0,2.6
Wayne State University,130.0,146.809,110.0,3.08
Wayne State University,139.0,156.0,96.0,3.264
Wayne State University,145.0,151.0,88.0,2.48
Wayne State University,146.0,147.0,84.0,2.672
Wayne State University,145.0,159.0,82.0,2.12
Wayne State University,130.0,157.447,94.0,2.24
Wayne State University,144.0,160.0,97.0,2.66
Wayne State University,146.0,161.0,87.0,3.344
Wayne State University,130.0,144.681,83.0,2.6
Wayne State University,130.0,163.83,98.0,2.334
Wayne State University,142.0,162.0,91.0,2.748
Wayne State University,144.0,156.0,83.0,2.6
Wayne State University,146.0,150.0,85.0,2.6
Wayne State University,130.0,140.426,92.0,2.64
Wayne State University,147.0,150.0,84.0,3.164
Wayne State University,149.0,158.0,7.0,2.4
Wayne State University,149.0,161.0,97.0,2.72
Wayne State University,150.0,159.0,87.0,2.6
Wayne State University,149.0,155.0,102.0,2.12
Virginia Polytechnic Institute and State University,159.0,170.0,113.0,3.08
Virginia Polytechnic Institute and State University,150.0,167.0,102.0,3.212
Virginia Polytechnic Institute and State University,130.0,170.213,113.0,2.44
Virginia Polytechnic Institute and State University,158.0,170.0,111.0,3.648
Virginia Polytechnic Institute and State University,146.809,168.085,111.0,2.4
Virginia Polytechnic Institute and State University,152.0,161.0,111.0,3.64
Virginia Polytechnic Institute and State University,154.0,165.0,105.0,2.804
Virginia Polytechnic Institute and State University,152.0,167.0,116.0,3.788
Virginia Polytechnic Institute and State University,158.0,170.0,116.0,3.408
Virginia Polytechnic Institute and State University,138.298,1700.0,120.0,3.184
Virginia Polytechnic Institute and State University,158.0,170.0,117.0,3.708
Virginia Polytechnic Institute and State University,167.0,168.0,105.0,2.852
Virginia Polytechnic Institute and State University,154.0,162.0,109.0,3.48
Virginia Polytechnic Institute and State University,130.0,170.213,114.0,3.656
Virginia Polytechnic Institute and State University,138.298,168.085,101.0,3.5
Virginia Polytechnic Institute and State University,158.0,165.0,109.0,3.548
Virginia Polytechnic Institute and State University,130.0,165.957,112.0,2.98
Virginia Polytechnic Institute and State University,130.0,170.213,112.0,3.0
Virginia Polytechnic Institute and State University,153.191,170.213,103.0,3.528
Virginia Polytechnic Institute and State University,152.0,165.0,112.0,2.992
Virginia Polytechnic Institute and State University,163.0,166.0,114.0,3.58
Virginia Polytechnic Institute and State University,155.319,170.213,114.0,3.2
Virginia Polytechnic Institute and State University,161.0,167.0,108.0,3.236
Virginia Polytechnic Institute and State University,161.0,170.0,115.0,3.216
Virginia Polytechnic Institute and State University,155.319,170.213,117.0,3.129
Virginia Polytechnic Institute and State University,162.0,168.0,111.0,3.088
Virginia Polytechnic Institute and State University,160.0,170.0,110.0,3.406
Virginia Polytechnic Institute and State University,156.0,163.0,108.0,2.8
Virginia Polytechnic Institute and State University,150.0,165.0,102.0,3.232
Virginia Polytechnic Institute and State University,148.0,167.0,111.0,3.576
Virginia Polytechnic Institute and State University,130.0,170.213,117.0,3.16
Virginia Polytechnic Institute and State University,165.0,167.0,107.0,3.016
Virginia Polytechnic Institute and State University,158.0,168.0,112.0,3.6
Virginia Polytechnic Institute and State University,130.0,163.83,120.0,2.48
Virginia Polytechnic Institute and State University,152.0,170.0,107.0,3.4
Virginia Polytechnic Institute and State University,136.17,170.213,114.0,3.152
Virginia Polytechnic Institute and State University,130.0,170.213,112.0,3.104
Virginia Polytechnic Institute and State University,151.0,164.0,110.0,3.736
Virginia Polytechnic Institute and State University,153.191,170.213,120.0,3.44
Virginia Polytechnic Institute and State University,130.0,168.085,102.0,2.76
Virginia Polytechnic Institute and State University,130.0,165.957,101.0,3.408
Virginia Polytechnic Institute and State University,130.0,170.213,113.0,1.48
Virginia Polytechnic Institute and State University,134.043,170.213,112.0,3.18
Virginia Polytechnic Institute and State University,153.0,160.0,110.0,3.584
Virginia Polytechnic Institute and State University,155.0,164.0,115.0,3.32
Virginia Polytechnic Institute and State University,130.0,170.213,106.0,3.204
Virginia Polytechnic Institute and State University,156.0,166.0,103.0,3.12
Virginia Polytechnic Institute and State University,150.0,160.0,100.0,3.176
Virginia Polytechnic Institute and State University,130.0,170.213,105.0,3.68
Virginia Polytechnic Institute and State University,130.0,168.085,120.0,3.52
Virginia Polytechnic Institute and State University,158.0,164.0,104.0,3.672
Virginia Polytechnic Institute and State University,130.0,161.702,97.0,3.97
Virginia Polytechnic Institute and State University,153.0,166.0,103.0,4.0
Virginia Polytechnic Institute and State University,155.0,170.0,109.0,3.2
Virginia Polytechnic Institute and State University,151.064,170.213,116.0,2.34
Virginia Polytechnic Institute and State University,131.915,170.213,114.0,3.2
Virginia Polytechnic Institute and State University,130.0,170.213,110.0,3.56
Virginia Polytechnic Institute and State University,130.0,163.83,101.0,3.384
Virginia Polytechnic Institute and State University,131.915,170.213,117.0,3.584
Virginia Polytechnic Institute and State University,130.0,161.702,120.0,3.5
Virginia Polytechnic Institute and State University,166.0,166.0,114.0,3.264
Virginia Polytechnic Institute and State University,155.0,167.0,114.0,3.128
Virginia Polytechnic Institute and State University,157.0,164.0,113.0,3.292
Virginia Polytechnic Institute and State University,153.0,162.0,101.0,3.836
Virginia Polytechnic Institute and State University,155.0,168.0,118.0,2.812
Virginia Polytechnic Institute and State University,140.426,170.213,109.0,3.16
Virginia Polytechnic Institute and State University,159.0,162.0,108.0,3.76
Virginia Polytechnic Institute and State University,154.0,163.0,113.0,3.6
Virginia Polytechnic Institute and State University,157.0,164.0,114.0,3.18
Virginia Polytechnic Institute and State University,156.0,168.0,114.0,3.158
Virginia Polytechnic Institute and State University,130.0,170.213,107.0,0.35
Virginia Polytechnic Institute and State University,170.213,170.213,112.0,3.388
Virginia Polytechnic Institute and State University,157.0,164.0,111.0,3.584
Virginia Polytechnic Institute and State University,131.915,161.702,116.0,3.44
Virginia Polytechnic Institute and State University,156.0,167.0,114.0,3.08
Virginia Polytechnic Institute and State University,130.0,170.213,110.0,3.32
Virginia Polytechnic Institute and State University,142.553,170.213,115.0,3.36
Virginia Polytechnic Institute and State University,130.0,163.83,107.0,3.728
Virginia Polytechnic Institute and State University,136.17,170.213,108.0,3.16
Virginia Polytechnic Institute and State University,130.0,168.085,109.0,3.36
Virginia Polytechnic Institute and State University,167.0,170.0,116.0,3.788
Virginia Polytechnic Institute and State University,142.553,170.213,117.0,3.7
Virginia Polytechnic Institute and State University,157.0,163.0,111.0,3.008
Virginia Polytechnic Institute and State University,148.0,161.0,100.0,3.4
Virginia Polytechnic Institute and State University,166.0,170.0,114.0,2.68
Virginia Polytechnic Institute and State University,130.0,170.213,109.0,3.16
Virginia Polytechnic Institute and State University,157.0,166.0,114.0,3.708
Virginia Polytechnic Institute and State University,130.0,170.213,114.0,3.546
Virginia Polytechnic Institute and State University,150.0,163.0,105.0,3.355
Virginia Polytechnic Institute and State University,164.0,170.0,113.0,3.092
Virginia Polytechnic Institute and State University,131.915,170.213,110.0,3.596
Virginia Polytechnic Institute and State University,142.553,170.213,114.0,3.472
Virginia Polytechnic Institute and State University,159.0,170.0,112.0,2.96
Virginia Polytechnic Institute and State University,150.0,167.0,110.0,0.332
Virginia Polytechnic Institute and State University,160.0,163.0,113.0,2.88
Virginia Polytechnic Institute and State University,142.0,130.0,95.0,3.476
Virginia Polytechnic Institute and State University,155.0,170.0,112.0,3.688
Virginia Polytechnic Institute and State University,157.0,163.0,116.0,3.086
Virginia Polytechnic Institute and State University,160.0,166.0,117.0,3.389
Virginia Polytechnic Institute and State University,158.0,166.0,113.0,3.212
Virginia Polytechnic Institute and State University,155.0,165.0,104.0,2.84
Virginia Polytechnic Institute and State University,130.0,163.83,105.0,2.72
Virginia Polytechnic Institute and State University,148.936,170.213,112.0,3.0
Virginia Polytechnic Institute and State University,130.0,170.213,105.0,3.372
Virginia Polytechnic Institute and State University,155.0,166.0,108.0,3.584
Virginia Polytechnic Institute and State University,136.17,170.213,120.0,3.516
Virginia Polytechnic Institute and State University,155.319,170.213,116.0,3.88
Virginia Polytechnic Institute and State University,154.0,168.0,112.0,3.68
Virginia Polytechnic Institute and State University,162.0,165.0,109.0,2.844
Virginia Polytechnic Institute and State University,149.0,157.0,108.0,3.18
Virginia Polytechnic Institute and State University,151.0,161.0,107.0,3.74
Virginia Polytechnic Institute and State University,130.0,170.213,97.0,3.76
Virginia Polytechnic Institute and State University,142.553,168.085,103.0,3.612
Virginia Polytechnic Institute and State University,130.0,161.702,98.0,2.88
Virginia Polytechnic Institute and State University,140.426,165.957,119.0,3.48
Virginia Polytechnic Institute and State University,170.0,159.0,117.0,3.824
Virginia Polytechnic Institute and State University,155.0,170.0,110.0,3.704
Virginia Polytechnic Institute and State University,138.298,170.213,115.0,2.606
Virginia Polytechnic Institute and State University,162.0,165.0,114.0,3.028
Virginia Polytechnic Institute and State University,130.0,170.213,105.0,3.08
Virginia Polytechnic Institute and State University,163.0,167.0,111.0,0.332
Virginia Polytechnic Institute and State University,158.0,170.0,113.0,3.32
Virginia Polytechnic Institute and State University,163.0,167.0,116.0,3.524
Virginia Polytechnic Institute and State University,130.0,168.085,100.0,3.388
Virginia Polytechnic Institute and State University,130.0,170.213,115.0,3.072
Virginia Polytechnic Institute and State University,130.0,165.957,115.0,3.548
Virginia Polytechnic Institute and State University,155.0,168.0,105.0,3.552
Virginia Polytechnic Institute and State University,152.0,157.0,112.0,3.72
Virginia Polytechnic Institute and State University,146.809,170.213,117.0,2.96
Virginia Polytechnic Institute and State University,157.0,168.0,109.0,3.58
Virginia Polytechnic Institute and State University,162.0,170.0,116.0,3.52
Virginia Polytechnic Institute and State University,166.0,161.0,114.0,3.224
Virginia Polytechnic Institute and State University,138.298,170.213,110.0,2.92
Virginia Polytechnic Institute and State University,134.043,170.213,115.0,3.34
Virginia Polytechnic Institute and State University,161.0,165.0,108.0,3.596
Virginia Polytechnic Institute and State University,155.0,161.0,107.0,3.08
Virginia Polytechnic Institute and State University,130.0,165.957,112.0,3.08
Virginia Polytechnic Institute and State University,136.17,170.213,112.0,3.628
Virginia Polytechnic Institute and State University,161.0,169.0,109.0,3.764
Virginia Polytechnic Institute and State University,144.681,170.213,112.0,2.708
Virginia Polytechnic Institute and State University,148.0,167.0,107.0,3.544
Virginia Polytechnic Institute and State University,158.0,170.0,108.0,2.864
Virginia Polytechnic Institute and State University,136.17,165.957,116.0,0.296
Virginia Polytechnic Institute and State University,162.0,168.0,113.0,2.88
Virginia Polytechnic Institute and State University,154.0,160.0,109.0,3.082
Virginia Polytechnic Institute and State University,130.0,165.957,109.0,3.548
Virginia Polytechnic Institute and State University,130.0,165.957,95.0,3.4
Virginia Polytechnic Institute and State University,155.0,165.0,105.0,3.292
Virginia Polytechnic Institute and State University,154.0,165.0,107.0,2.6
Virginia Polytechnic Institute and State University,148.0,161.0,107.0,3.576
Virginia Polytechnic Institute and State University,152.0,158.0,106.0,2.32
Virginia Polytechnic Institute and State University,130.0,163.83,97.0,3.496
Virginia Polytechnic Institute and State University,138.298,170.213,120.0,3.292
Virginia Polytechnic Institute and State University,130.0,161.702,91.0,3.244
Virginia Polytechnic Institute and State University,157.0,167.0,113.0,3.46
Virginia Polytechnic Institute and State University,148.0,163.0,103.0,2.6
Virginia Polytechnic Institute and State University,148.0,162.0,95.0,3.0
Virginia Polytechnic Institute and State University,151.064,163.83,104.0,3.24
Virginia Polytechnic Institute and State University,149.0,159.0,104.0,3.64
Virginia Polytechnic Institute and State University,153.0,162.0,113.0,3.36
Virginia Polytechnic Institute and State University,130.0,161.702,104.0,2.988
Virginia Polytechnic Institute and State University,134.043,168.085,101.0,2.88
Virginia Polytechnic Institute and State University,130.0,165.957,111.0,2.78
Virginia Polytechnic Institute and State University,142.553,170.213,111.0,3.2
Virginia Polytechnic Institute and State University,152.0,158.0,111.0,3.7
Virginia Polytechnic Institute and State University,165.0,166.0,105.0,3.04
Virginia Polytechnic Institute and State University,152.0,164.0,106.0,3.712
Virginia Polytechnic Institute and State University,142.553,170.213,105.0,3.76
Virginia Polytechnic Institute and State University,130.0,159.574,93.0,2.803
Virginia Polytechnic Institute and State University,138.298,168.085,108.0,3.08
Virginia Polytechnic Institute and State University,163.0,165.0,114.0,3.352
Virginia Polytechnic Institute and State University,158.0,168.0,104.0,3.42
Virginia Polytechnic Institute and State University,141.0,167.0,98.0,3.4
Virginia Polytechnic Institute and State University,148.936,170.213,111.0,3.702
Virginia Polytechnic Institute and State University,130.0,170.213,111.0,3.02
Virginia Polytechnic Institute and State University,154.0,164.0,110.0,3.268
Virginia Polytechnic Institute and State University,159.0,163.0,108.0,3.436
Virginia Polytechnic Institute and State University,159.0,169.0,114.0,3.596
Virginia Polytechnic Institute and State University,142.553,170.213,120.0,2.844
Virginia Polytechnic Institute and State University,138.298,170.213,113.0,3.24
Virginia Polytechnic Institute and State University,130.0,168.085,4.0,3.444
Virginia Polytechnic Institute and State University,148.936,170.213,105.0,3.408
Virginia Polytechnic Institute and State University,130.0,170.213,105.0,2.72
Virginia Polytechnic Institute and State University,160.0,159.0,109.0,3.22
Virginia Polytechnic Institute and State University,155.0,169.0,101.0,3.792
Virginia Polytechnic Institute and State University,130.0,170.213,107.0,3.224
Virginia Polytechnic Institute and State University,152.0,163.0,98.0,3.512
Virginia Polytechnic Institute and State University,144.681,170.213,120.0,3.16
Virginia Polytechnic Institute and State University,150.0,166.0,100.0,3.162
Virginia Polytechnic Institute and State University,144.681,170.213,93.0,2.88
Virginia Polytechnic Institute and State University,148.0,157.0,89.0,3.2
Virginia Polytechnic Institute and State University,130.0,168.085,120.0,2.926
Virginia Polytechnic Institute and State University,163.0,170.0,117.0,2.8
Virginia Polytechnic Institute and State University,130.0,161.702,106.0,2.72
Virginia Polytechnic Institute and State University,136.17,170.213,114.0,3.22
Virginia Polytechnic Institute and State University,164.0,169.0,118.0,3.556
Virginia Polytechnic Institute and State University,158.0,170.0,117.0,3.944
Virginia Polytechnic Institute and State University,146.809,161.702,99.0,3.27
Virginia Polytechnic Institute and State University,157.0,160.0,109.0,3.28
Virginia Polytechnic Institute and State University,155.0,164.0,105.0,3.428
Virginia Polytechnic Institute and State University,158.0,170.0,105.0,3.864
Virginia Polytechnic Institute and State University,156.0,165.0,114.0,3.712
Virginia Polytechnic Institute and State University,144.681,170.213,118.0,2.404
Virginia Polytechnic Institute and State University,130.0,168.085,111.0,3.24
Virginia Polytechnic Institute and State University,162.0,167.0,116.0,3.04
Virginia Polytechnic Institute and State University,131.915,157.447,114.0,2.8
Virginia Polytechnic Institute and State University,154.0,170.0,104.0,3.632
Virginia Polytechnic Institute and State University,130.0,170.213,115.0,2.92
Virginia Polytechnic Institute and State University,131.915,170.213,105.0,3.388
Virginia Polytechnic Institute and State University,146.809,170.213,114.0,3.94
Virginia Polytechnic Institute and State University,152.0,167.0,111.0,2.72
Virginia Polytechnic Institute and State University,142.553,170.213,115.0,3.772
Virginia Polytechnic Institute and State University,161.0,166.0,107.0,3.688
Virginia Polytechnic Institute and State University,153.0,170.0,104.0,2.96
Virginia Polytechnic Institute and State University,161.0,159.0,117.0,3.372
Virginia Polytechnic Institute and State University,155.0,163.0,105.0,3.248
Virginia Polytechnic Institute and State University,148.0,155.0,95.0,3.484
Virginia Polytechnic Institute and State University,130.0,170.213,108.0,2.8
Virginia Polytechnic Institute and State University,162.0,168.0,105.0,3.688
Virginia Polytechnic Institute and State University,156.0,170.0,115.0,3.844
Virginia Polytechnic Institute and State University,160.0,170.0,113.0,3.4
Virginia Polytechnic Institute and State University,160.0,161.0,118.0,3.68
Virginia Polytechnic Institute and State University,148.0,168.0,97.0,3.524
Virginia Polytechnic Institute and State University,161.0,170.0,113.0,3.174
Virginia Polytechnic Institute and State University,165.0,166.0,110.0,2.96
Virginia Polytechnic Institute and State University,169.0,166.0,119.0,3.4
Virginia Polytechnic Institute and State University,153.191,170.213,115.0,3.32
Virginia Polytechnic Institute and State University,144.681,170.213,115.0,2.68
Virginia Polytechnic Institute and State University,155.319,163.83,116.0,3.164
Virginia Polytechnic Institute and State University,130.0,170.213,108.0,2.72
Virginia Polytechnic Institute and State University,130.0,165.957,114.0,3.856
Virginia Polytechnic Institute and State University,130.0,170.213,107.0,2.92
Virginia Polytechnic Institute and State University,151.0,170.0,104.0,3.328
Virginia Polytechnic Institute and State University,163.0,168.0,114.0,3.216
Virginia Polytechnic Institute and State University,130.0,170.213,113.0,3.42
Virginia Polytechnic Institute and State University,138.298,165.957,103.0,2.932
Virginia Polytechnic Institute and State University,150.0,169.0,107.0,3.0
Virginia Polytechnic Institute and State University,152.0,163.0,105.0,3.48
Virginia Polytechnic Institute and State University,150.0,162.0,115.0,3.8
Virginia Polytechnic Institute and State University,152.0,164.0,111.0,3.416
Virginia Polytechnic Institute and State University,130.0,170.213,108.0,3.068
Virginia Polytechnic Institute and State University,154.0,170.0,110.0,3.18
Virginia Polytechnic Institute and State University,155.0,167.0,107.0,3.744
Virginia Polytechnic Institute and State University,156.0,165.0,112.0,3.684
Virginia Polytechnic Institute and State University,157.0,165.0,106.0,3.2
Virginia Polytechnic Institute and State University,130.0,168.085,109.0,2.88
Virginia Polytechnic Institute and State University,134.043,168.085,120.0,3.12
Virginia Polytechnic Institute and State University,130.0,170.213,102.0,2.92
Virginia Polytechnic Institute and State University,131.915,163.83,114.0,3.604
Virginia Polytechnic Institute and State University,164.0,170.0,113.0,3.456
Virginia Polytechnic Institute and State University,130.0,157.447,99.0,3.2
Virginia Polytechnic Institute and State University,160.0,164.0,116.0,3.572
Virginia Polytechnic Institute and State University,145.0,158.0,93.0,3.336
Virginia Polytechnic Institute and State University,156.0,170.0,108.0,3.448
Virginia Polytechnic Institute and State University,155.319,170.213,120.0,2.52
University of Wisconsin Madison,159.0,170.0,113.0,3.08
University of Wisconsin Madison,91.0,99.0,115.0,3.44
University of Wisconsin Madison,146.809,168.085,98.0,3.508
University of Wisconsin Madison,130.0,170.213,113.0,2.938
University of Wisconsin Madison,158.0,170.0,111.0,3.648
University of Wisconsin Madison,160.0,170.0,117.0,3.828
University of Wisconsin Madison,130.0,163.83,108.0,3.912
University of Wisconsin Madison,154.0,161.0,111.0,3.512
University of Wisconsin Madison,157.0,165.0,106.0,3.22
University of Wisconsin Madison,160.0,168.0,118.0,3.796
University of Wisconsin Madison,148.936,170.213,110.0,3.348
University of Wisconsin Madison,142.553,170.213,111.0,3.88
University of Wisconsin Madison,138.298,165.957,101.0,3.9
University of Wisconsin Madison,147.0,163.0,106.0,3.604
University of Wisconsin Madison,167.0,168.0,118.0,3.732
University of Wisconsin Madison,170.213,161.702,119.0,3.232
University of Wisconsin Madison,130.0,161.702,90.0,2.56
University of Wisconsin Madison,164.0,169.0,118.0,3.612
University of Wisconsin Madison,131.915,168.085,115.0,3.404
University of Wisconsin Madison,155.0,164.0,107.0,3.768
University of Wisconsin Madison,161.0,167.0,108.0,3.236
University of Wisconsin Madison,155.0,163.0,109.0,3.456
University of Wisconsin Madison,138.298,170.213,116.0,2.896
University of Wisconsin Madison,166.0,170.0,114.0,3.78
University of Wisconsin Madison,159.0,163.0,115.0,3.628
University of Wisconsin Madison,156.0,161.0,117.0,3.412
University of Wisconsin Madison,144.681,163.83,101.0,3.44
University of Wisconsin Madison,130.0,170.213,109.0,3.616
University of Wisconsin Madison,144.681,159.574,117.0,3.86
University of Wisconsin Madison,158.0,168.0,112.0,3.6
